🕘️更新时间,#genre#
CCTV16,http://222.90.22.2:9999/rtp/239.111.205.133:5140
CCTV16,http://222.90.22.2:9999/rtp/239.111.205.134:5140
CCTV16,https://live.sxrtv.com/iptv/cctv16.flv
CCTV16,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.135:1025
CCTV16,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.136:1025
CCTV16,http://183.185.151.246:9003/hls/17/index.m3u8
CCTV16,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV16,http://61.150.115.189:7777/nptv/cctv16.m3u8
CCTV17,http://101.201.225.252:35456/gptv/G_CCTV-17-HQ.m3u8
CCTV17,http://www.stoneshi1984.ren:58120/rtp/239.112.205.211:5140
CCTV17,http://222.90.22.2:9999/rtp/239.109.205.88:8640
CCTV17,http://222.90.22.2:9999/rtp/239.112.205.211:5140
CCTV17,http://114.100.16.212:4022/rtp/238.1.78.178:7296
CCTV17,http://43.248.96.56:8880/mgtv/673168256.m3u8
CCTV17,https://live.sxrtv.com/iptv/cctv17.flv
CCTV17,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.158:1025
CCTV17,http://171.15.18.199:8180/TV00000000000000000017@HHZT
CCTV17,http://116.230.254.173:8004/mgtv/673168256.m3u8

卫视频道,#genre#
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://101.201.225.252:35456/gptv/G_BEIJING-HQ.m3u8
北京卫视,http://www.stoneshi1984.ren:58120/rtp/239.112.205.65:5140
北京卫视,http://222.90.22.2:9999/rtp/239.112.205.65:5140
北京卫视,http://222.90.22.2:9999/rtp/239.109.205.162:8898
北京卫视,http://114.100.16.212:4022/rtp/238.1.78.162:7168
北京卫视,http://43.248.96.56:8880/nptv/beijing.m3u8
北京卫视,http://183.24.62.163:44443/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://aiony.top:35455/nptv/beijing.m3u8
北京卫视,https://live.sxrtv.com/iptv/bjws.flv
浙江卫视,http://101.201.225.252:35456/gptv/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://www.stoneshi1984.ren:58120/rtp/239.112.205.64:5140
浙江卫视,http://222.90.22.2:9999/rtp/239.112.205.64:5140
浙江卫视,http://222.90.22.2:9999/rtp/239.109.205.120:8896
浙江卫视,http://114.100.16.212:4022/rtp/238.1.78.164:7184
浙江卫视,http://43.248.96.56:8880/nptv/zhejiang.m3u8
浙江卫视,http://183.24.62.163:44443/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://aiony.top:35455/nptv/zhejiang.m3u8
浙江卫视,https://live.sxrtv.com/iptv/zjws.flv
